NRIC,name,phoneNo
S1234567A,Nurul Ain,91234567
S2345678B,Low Jia Ying,92345678
S3456789C,Toh Pei Xuan,93456789
S4567890D,Jason Ong,94567890
S5678901E,Foo Min Jie,95678901
S6789012F,Farah Binte Osman,96789012
S7890123G,Anjali d/o Ravi,97890123
S8901234H,Khairul Anwar,98901234
S9012345J,Heng Han Ming,90012345
S0123456K,Divya d/o Kumar,91123456
S1123457L,Tan Shu Wen,92234567
S2234568M,Melissa Wong,93345678
S3345679N,Lim Wei Ming,94456789
S4456780P,Nicholas Lim,95567890
S5567891Q,Chan Yu Kai,96678901
S6678902R,Nadia Binte Salleh,97789012
S7789013S,Yeo Han Wei,98890123
S8890124T,Sharifah Nur,99901234
S9901235U,Lee Yu Xuan,90123456
S1012346V,Cheong Shi Jie,91234568
S2123457W,Lim Zhen Yi,92345679
S3234568X,Goh Wei Jie,93456780
S4345679Y,Adilah Binte Rashid,94567891
S5456780Z,Toh En Qi,95678902
S6567891A,Ng Li Fang,96789013
S7678902B,Pravin s/o Muthu,97890124
S8789013C,Siti Nurhidayah,98901235
S9890124D,Ravi s/o Raghavan,90012346
S0901235E,Liew Jun Hao,91123457
S1012346F,Sim Pei Xuan,92234568
S2123457G,John Tan,93345679
S3234568H,Foo Han Ming,94456780
S4345679J,Yap Jing Yi,95567891
S5456780K,Wong Pei Ling,96678902
S6567891L,Sim Jia Hui,97789013
S7678902M,Lee Jia Hao,98890124
S8789013N,Ong Zhi Hui,99901235
S9890124P,Toh Han Wei,90123457
S0901235Q,Lim Kai Wen,91234569
S1012346R,Ang Jun Wei,92345680
S2123457S,Aisyah Binte Ahmad,93456781
S3234568T,Ng Pei En,94567892
S4345679U,Deepa d/o Mani,95678903
S5456780V,Teo Hui Shan,96789014
S6567891W,Lau Rui Jie,97890125
S7678902X,Tan Yi Kai,98901236
S8789013Y,Amirul Hakim,90012347
S9890124Z,Chew Mei Yan,91123458
S0901235A,Tan Mei Ling,92334567
S1012346B,Chan Yu Xuan,93448283
